,CASEOID,ACTIVITYOID,TIMESTAMP,Variant,Variant index,CASE_ID,Activity
120,70,6,2011-07-12 15:00:36,Variant 2,2,70,6
121,71,1,2011-11-02 17:20:14,Variant 1,1,71,1
122,71,8,2011-11-02 17:20:41,Variant 1,1,71,8
123,71,6,2011-11-02 18:49:41,Variant 1,1,71,6
124,72,1,2011-01-25 22:15:31,Variant 1,1,72,1
125,72,8,2011-01-25 22:15:58,Variant 1,1,72,8
126,72,6,2011-02-14 20:48:42,Variant 1,1,72,6
127,74,6,2012-02-10 20:42:26,Variant 52,52,74,6
128,76,1,2012-01-11 00:01:36,Variant 4,4,76,1
129,76,6,2012-01-11 00:58:08,Variant 4,4,76,6
130,78,1,2011-11-08 18:18:10,Variant 1,1,78,1
131,78,8,2011-11-08 18:22:35,Variant 1,1,78,8
132,78,6,2011-12-06 01:33:12,Variant 1,1,78,6
133,85,1,2011-02-25 02:01:50,Variant 1,1,85,1
134,85,8,2011-02-25 02:03:45,Variant 1,1,85,8
135,85,6,2011-03-04 19:02:13,Variant 1,1,85,6
136,86,1,2012-06-13 00:12:48,Variant 2,2,86,1
137,86,8,2012-06-15 15:27:33,Variant 2,2,86,8
138,86,9,2012-06-15 18:00:52,Variant 2,2,86,9
139,86,6,2012-06-18 17:42:02,Variant 2,2,86,6
140,87,1,2011-11-14 23:35:55,Variant 30,30,87,1
141,87,8,2011-11-18 01:58:30,Variant 30,30,87,8
142,87,9,2011-11-18 01:59:03,Variant 30,30,87,9
143,87,6,2011-11-25 18:30:07,Variant 30,30,87,6
144,87,8,2011-11-28 22:50:35,Variant 30,30,87,8
145,87,9,2011-11-28 22:59:00,Variant 30,30,87,9
146,87,6,2011-12-07 22:41:18,Variant 30,30,87,6
147,91,1,2011-05-24 20:51:35,Variant 1,1,91,1
148,91,8,2011-05-24 20:52:07,Variant 1,1,91,8
149,91,6,2011-05-24 21:36:11,Variant 1,1,91,6
150,94,1,2012-02-08 17:33:56,Variant 1,1,94,1
151,94,8,2012-02-08 17:34:08,Variant 1,1,94,8
152,94,6,2012-02-08 17:34:34,Variant 1,1,94,6
153,95,1,2011-09-26 18:27:14,Variant 1,1,95,1
154,95,8,2011-09-29 21:54:32,Variant 1,1,95,8
155,95,6,2011-09-30 17:09:23,Variant 1,1,95,6
156,96,1,2012-02-28 01:31:32,Variant 6,6,96,1
157,96,8,2012-02-28 17:52:59,Variant 6,6,96,8
158,96,6,2012-02-29 17:25:13,Variant 6,6,96,6
159,96,6,2012-02-29 17:25:14,Variant 6,6,96,6
160,99,1,2011-05-11 18:16:32,Variant 1,1,99,1
161,99,8,2011-05-11 18:17:55,Variant 1,1,99,8
162,99,6,2011-05-16 16:33:29,Variant 1,1,99,6
163,102,1,2012-01-30 18:09:29,Variant 1,1,102,1
164,102,8,2012-01-30 18:09:57,Variant 1,1,102,8
165,102,6,2012-01-31 17:12:06,Variant 1,1,102,6
166,104,1,2011-01-27 17:34:59,Variant 1,1,104,1
167,104,8,2011-01-27 18:32:40,Variant 1,1,104,8
168,104,6,2011-01-27 18:34:24,Variant 1,1,104,6
169,108,1,2011-01-12 20:28:16,Variant 1,1,108,1
170,108,8,2011-01-24 18:21:26,Variant 1,1,108,8
171,108,6,2011-01-26 17:12:39,Variant 1,1,108,6
172,112,1,2011-10-06 15:50:55,Variant 1,1,112,1
173,112,8,2011-10-07 22:03:47,Variant 1,1,112,8
174,112,6,2011-10-14 22:44:32,Variant 1,1,112,6
175,116,1,2011-04-08 21:02:03,Variant 1,1,116,1
176,116,8,2011-04-08 21:02:38,Variant 1,1,116,8
177,116,6,2011-04-08 21:07:10,Variant 1,1,116,6
178,118,1,2011-03-07 20:02:24,Variant 1,1,118,1
179,118,8,2011-03-07 20:02:41,Variant 1,1,118,8
180,118,6,2011-03-07 22:14:21,Variant 1,1,118,6
181,119,1,2011-12-05 23:22:17,Variant 1,1,119,1
182,119,8,2011-12-05 23:58:56,Variant 1,1,119,8
183,119,6,2011-12-13 18:22:04,Variant 1,1,119,6
184,120,1,2012-04-24 22:07:03,Variant 2,2,120,1
185,120,8,2012-05-08 18:53:06,Variant 2,2,120,8
186,120,9,2012-05-08 20:31:30,Variant 2,2,120,9
187,120,6,2012-05-08 22:04:27,Variant 2,2,120,6
188,121,1,2011-02-09 22:28:58,Variant 1,1,121,1
189,121,8,2011-02-09 23:21:02,Variant 1,1,121,8
190,121,6,2011-02-09 23:21:46,Variant 1,1,121,6
191,122,1,2011-02-15 00:23:08,Variant 1,1,122,1
192,122,8,2011-02-15 20:17:46,Variant 1,1,122,8
193,122,6,2011-02-15 20:52:47,Variant 1,1,122,6
194,123,1,2011-05-06 15:33:07,Variant 3,3,123,1
195,123,8,2011-05-06 15:33:39,Variant 3,3,123,8
196,123,9,2011-05-06 20:55:50,Variant 3,3,123,9
197,123,8,2011-05-12 21:45:43,Variant 3,3,123,8
198,123,6,2011-05-12 21:45:54,Variant 3,3,123,6
199,124,1,2012-06-07 23:31:32,Variant 1,1,124,1
200,124,8,2012-06-08 14:47:21,Variant 1,1,124,8
201,124,6,2012-06-08 14:47:30,Variant 1,1,124,6
202,128,1,2011-11-28 17:10:27,Variant 7,7,128,1
203,128,6,2011-11-28 18:46:59,Variant 7,7,128,6
204,128,6,2011-11-28 18:46:59,Variant 7,7,128,6
205,132,1,2012-06-21 20:50:46,Variant 2,2,132,1
206,132,8,2012-06-21 21:30:02,Variant 2,2,132,8
207,132,9,2012-06-21 22:32:08,Variant 2,2,132,9
208,132,6,2012-06-25 20:03:33,Variant 2,2,132,6
209,133,1,2011-01-26 20:24:58,Variant 5,5,133,1
210,133,1,2011-01-26 20:59:56,Variant 5,5,133,1
211,133,8,2011-01-26 21:00:03,Variant 5,5,133,8
212,133,6,2011-01-28 23:29:17,Variant 5,5,133,6
213,134,1,2011-04-19 22:42:45,Variant 1,1,134,1
214,134,8,2011-04-19 22:45:25,Variant 1,1,134,8
215,134,6,2011-04-19 22:45:42,Variant 1,1,134,6
216,135,1,2011-02-08 20:57:41,Variant 21,21,135,1
217,135,8,2011-02-08 20:58:01,Variant 21,21,135,8
218,135,9,2011-02-10 17:27:30,Variant 21,21,135,9
219,135,8,2011-02-14 21:01:11,Variant 21,21,135,8
220,135,6,2011-02-14 21:02:59,Variant 21,21,135,6
221,135,8,2011-03-03 18:46:37,Variant 21,21,135,8
222,135,6,2011-03-03 23:05:29,Variant 21,21,135,6
223,136,1,2012-06-06 22:48:56,Variant 1,1,136,1
224,136,8,2012-06-07 20:19:44,Variant 1,1,136,8
225,136,6,2012-06-08 15:13:29,Variant 1,1,136,6
226,137,1,2011-08-05 21:00:13,Variant 2,2,137,1
227,137,8,2011-08-11 18:30:47,Variant 2,2,137,8
228,137,9,2011-08-12 21:42:55,Variant 2,2,137,9
229,137,6,2011-08-19 20:25:37,Variant 2,2,137,6
230,138,1,2012-03-02 18:13:46,Variant 1,1,138,1
231,138,8,2012-03-02 18:13:56,Variant 1,1,138,8
232,138,6,2012-03-02 18:34:03,Variant 1,1,138,6
233,141,1,2011-01-12 19:39:32,Variant 22,22,141,1
234,141,8,2011-01-12 19:39:56,Variant 22,22,141,8
235,141,9,2011-01-12 19:50:26,Variant 22,22,141,9
236,141,8,2011-01-12 20:07:51,Variant 22,22,141,8
237,141,9,2011-01-12 20:34:34,Variant 22,22,141,9
238,141,8,2011-01-26 18:25:14,Variant 22,22,141,8
239,141,6,2011-01-26 18:26:04,Variant 22,22,141,6
240,142,1,2012-03-07 20:00:05,Variant 1,1,142,1
241,142,8,2012-03-08 22:53:36,Variant 1,1,142,8
242,142,6,2012-03-09 23:48:25,Variant 1,1,142,6
243,148,1,2012-01-09 20:19:35,Variant 6,6,148,1
244,148,8,2012-01-10 01:14:26,Variant 6,6,148,8
245,148,6,2012-01-10 01:14:53,Variant 6,6,148,6
246,148,6,2012-01-10 01:14:53,Variant 6,6,148,6
247,149,1,2011-02-09 23:35:27,Variant 1,1,149,1
248,149,8,2011-02-10 00:16:21,Variant 1,1,149,8
249,149,6,2011-02-10 00:24:44,Variant 1,1,149,6
250,150,3,2011-05-18 16:39:41,Variant 53,53,150,3
251,150,1,2011-05-18 16:39:49,Variant 53,53,150,1
252,150,8,2011-05-18 16:41:36,Variant 53,53,150,8
253,150,9,2011-05-23 23:20:54,Variant 53,53,150,9
254,150,8,2011-05-26 15:55:33,Variant 53,53,150,8
255,150,6,2011-05-26 15:56:00,Variant 53,53,150,6
256,152,1,2012-05-18 20:08:58,Variant 1,1,152,1
257,152,8,2012-05-24 18:00:37,Variant 1,1,152,8
258,152,6,2012-05-25 16:12:16,Variant 1,1,152,6
262,155,8,2011-01-18 20:15:13,Variant 3,3,155,8
263,155,6,2011-01-18 20:15:29,Variant 3,3,155,6
264,157,1,2011-05-24 15:13:23,Variant 1,1,157,1
265,157,8,2011-05-31 23:42:09,Variant 1,1,157,8
266,157,6,2011-06-06 18:19:01,Variant 1,1,157,6
267,159,1,2011-09-21 15:12:16,Variant 1,1,159,1
268,159,8,2011-09-21 15:46:44,Variant 1,1,159,8
269,159,6,2011-09-27 21:20:30,Variant 1,1,159,6
270,160,1,2011-02-25 19:55:02,Variant 1,1,160,1
271,160,8,2011-02-25 22:26:45,Variant 1,1,160,8
272,160,6,2011-02-25 22:28:30,Variant 1,1,160,6
273,162,1,2011-10-04 23:47:43,Variant 14,14,162,1
274,162,1,2011-10-07 21:29:10,Variant 14,14,162,1
275,162,6,2011-10-07 21:30:00,Variant 14,14,162,6
276,165,1,2012-01-14 01:36:23,Variant 4,4,165,1
277,165,6,2012-01-14 01:36:49,Variant 4,4,165,6
278,167,1,2011-11-23 23:43:38,Variant 25,25,167,1
279,167,8,2011-11-25 19:12:19,Variant 25,25,167,8
280,167,9,2011-11-25 23:01:18,Variant 25,25,167,9
281,167,6,2011-11-28 18:25:00,Variant 25,25,167,6
282,167,6,2011-11-28 18:25:02,Variant 25,25,167,6
283,168,1,2012-01-09 19:01:47,Variant 1,1,168,1
284,168,8,2012-01-09 20:20:28,Variant 1,1,168,8
285,168,6,2012-01-09 20:21:29,Variant 1,1,168,6
286,170,1,2012-05-02 23:54:51,Variant 12,12,170,1
287,170,8,2012-05-03 15:51:09,Variant 12,12,170,8
288,170,9,2012-05-03 16:01:21,Variant 12,12,170,9
289,170,8,2012-05-17 15:46:38,Variant 12,12,170,8
290,170,9,2012-05-17 15:47:13,Variant 12,12,170,9
291,170,6,2012-05-18 15:18:57,Variant 12,12,170,6
292,171,1,2011-08-29 22:12:48,Variant 5,5,171,1
293,171,1,2011-08-30 17:49:49,Variant 5,5,171,1
294,171,8,2011-08-30 18:06:35,Variant 5,5,171,8
295,171,6,2011-08-31 15:34:45,Variant 5,5,171,6
296,174,1,2011-10-24 18:22:28,Variant 2,2,174,1
297,174,8,2011-11-04 00:48:18,Variant 2,2,174,8
298,174,9,2011-11-05 01:24:35,Variant 2,2,174,9
299,174,6,2011-11-09 23:20:52,Variant 2,2,174,6
300,177,1,2012-01-18 17:12:04,Variant 1,1,177,1
301,177,8,2012-01-18 17:21:52,Variant 1,1,177,8
302,177,6,2012-01-18 18:42:03,Variant 1,1,177,6
303,178,1,2012-02-22 23:49:43,Variant 1,1,178,1
304,178,8,2012-02-22 23:49:52,Variant 1,1,178,8
305,178,6,2012-02-29 18:36:49,Variant 1,1,178,6
306,179,1,2012-04-11 21:30:07,Variant 1,1,179,1
307,179,8,2012-04-12 17:29:39,Variant 1,1,179,8
308,179,6,2012-04-12 20:57:39,Variant 1,1,179,6
309,180,1,2011-10-06 18:23:22,Variant 1,1,180,1
310,180,8,2011-10-06 22:07:44,Variant 1,1,180,8
311,180,6,2011-10-06 22:31:30,Variant 1,1,180,6
312,181,1,2011-09-29 17:51:55,Variant 4,4,181,1
313,181,6,2011-09-30 21:14:19,Variant 4,4,181,6
314,188,1,2012-01-09 22:58:58,Variant 1,1,188,1
315,188,8,2012-01-09 22:59:09,Variant 1,1,188,8
316,188,6,2012-01-10 18:03:01,Variant 1,1,188,6
317,190,1,2011-02-22 00:36:25,Variant 1,1,190,1
318,190,8,2011-02-22 01:44:27,Variant 1,1,190,8
319,190,6,2011-03-03 23:26:19,Variant 1,1,190,6
320,194,1,2012-02-08 20:28:03,Variant 1,1,194,1
321,194,8,2012-02-10 19:28:30,Variant 1,1,194,8
322,194,6,2012-03-05 20:31:08,Variant 1,1,194,6
323,196,1,2011-11-16 19:45:30,Variant 1,1,196,1
324,196,8,2011-11-17 22:31:33,Variant 1,1,196,8
325,196,6,2011-11-17 22:32:09,Variant 1,1,196,6
326,197,1,2012-06-01 16:18:57,Variant 6,6,197,1
327,197,8,2012-06-04 15:56:22,Variant 6,6,197,8
328,197,6,2012-06-04 17:46:33,Variant 6,6,197,6
329,197,6,2012-06-04 17:46:33,Variant 6,6,197,6
330,198,1,2011-04-28 21:46:15,Variant 1,1,198,1
331,198,8,2011-04-28 21:46:46,Variant 1,1,198,8
332,198,6,2011-05-09 23:43:48,Variant 1,1,198,6
333,199,8,2011-12-14 00:45:50,Variant 9,9,199,8
334,199,6,2011-12-14 19:27:28,Variant 9,9,199,6
335,200,1,2012-04-12 22:59:24,Variant 1,1,200,1
336,200,8,2012-04-13 23:07:02,Variant 1,1,200,8
337,200,6,2012-04-16 21:40:01,Variant 1,1,200,6
338,201,1,2011-08-22 15:06:31,Variant 1,1,201,1
339,201,8,2011-08-22 17:14:28,Variant 1,1,201,8
340,201,6,2011-08-22 17:31:48,Variant 1,1,201,6
341,204,1,2011-11-01 00:30:39,Variant 1,1,204,1
342,204,8,2011-11-01 00:30:50,Variant 1,1,204,8
343,204,6,2011-11-02 22:41:11,Variant 1,1,204,6
344,206,1,2011-03-04 19:26:28,Variant 3,3,206,1
345,206,8,2011-03-04 19:29:32,Variant 3,3,206,8
346,206,9,2011-03-04 20:32:51,Variant 3,3,206,9
347,206,8,2011-03-11 20:48:16,Variant 3,3,206,8
348,206,6,2011-03-11 20:48:28,Variant 3,3,206,6
349,207,1,2011-06-21 21:40:37,Variant 1,1,207,1
350,207,8,2011-06-23 21:54:10,Variant 1,1,207,8
351,207,6,2011-07-11 15:42:06,Variant 1,1,207,6
352,209,1,2012-01-11 19:39:43,Variant 1,1,209,1
353,209,8,2012-01-11 19:40:06,Variant 1,1,209,8
354,209,6,2012-01-11 19:41:58,Variant 1,1,209,6
355,212,1,2012-05-14 20:39:34,Variant 1,1,212,1
356,212,8,2012-05-14 20:39:41,Variant 1,1,212,8
357,212,6,2012-05-14 21:28:38,Variant 1,1,212,6
358,213,1,2011-07-19 18:43:29,Variant 4,4,213,1
359,213,6,2011-07-27 16:19:08,Variant 4,4,213,6
360,214,1,2011-01-26 17:16:35,Variant 5,5,214,1
361,214,1,2011-01-26 17:57:02,Variant 5,5,214,1
362,214,8,2011-01-26 17:57:35,Variant 5,5,214,8
363,214,6,2011-01-27 17:24:33,Variant 5,5,214,6
364,217,1,2011-03-04 18:34:36,Variant 1,1,217,1
365,217,8,2011-03-04 18:35:05,Variant 1,1,217,8
366,217,6,2011-03-09 00:20:32,Variant 1,1,217,6
367,218,1,2011-03-26 01:16:00,Variant 20,20,218,1
368,218,8,2011-03-26 01:17:36,Variant 20,20,218,8
369,218,6,2011-03-26 01:31:47,Variant 20,20,218,6
370,218,8,2011-03-28 17:02:16,Variant 20,20,218,8
371,218,9,2011-03-31 23:35:15,Variant 20,20,218,9
372,218,8,2011-04-08 20:49:14,Variant 20,20,218,8
373,218,6,2011-04-08 21:01:12,Variant 20,20,218,6
374,219,8,2011-11-11 19:10:51,Variant 49,49,219,8
375,219,9,2011-11-11 19:52:25,Variant 49,49,219,9
376,219,8,2011-11-15 17:46:26,Variant 49,49,219,8
377,219,6,2011-11-15 17:47:32,Variant 49,49,219,6
378,219,6,2011-11-15 17:47:33,Variant 49,49,219,6
379,220,1,2011-07-25 19:03:37,Variant 2,2,220,1
380,220,8,2011-07-28 21:41:04,Variant 2,2,220,8
381,220,9,2011-08-04 17:47:48,Variant 2,2,220,9
382,220,6,2011-08-04 21:25:57,Variant 2,2,220,6
383,221,1,2011-11-23 19:46:01,Variant 1,1,221,1
384,221,8,2011-11-26 00:11:06,Variant 1,1,221,8
385,221,6,2011-11-28 20:46:18,Variant 1,1,221,6
386,222,1,2012-02-01 20:34:03,Variant 4,4,222,1
387,222,6,2012-02-01 20:35:16,Variant 4,4,222,6
388,223,1,2012-03-15 22:28:02,Variant 6,6,223,1
389,223,8,2012-03-16 20:30:26,Variant 6,6,223,8
390,223,6,2012-03-17 00:29:01,Variant 6,6,223,6
391,223,6,2012-03-17 00:29:02,Variant 6,6,223,6
392,224,1,2012-05-28 22:20:59,Variant 2,2,224,1
393,224,8,2012-05-28 22:21:21,Variant 2,2,224,8
394,224,9,2012-05-28 22:41:06,Variant 2,2,224,9
395,224,6,2012-05-29 16:06:03,Variant 2,2,224,6
396,225,1,2011-07-21 21:48:19,Variant 4,4,225,1
397,225,6,2011-07-22 21:05:46,Variant 4,4,225,6
398,226,1,2011-04-12 00:01:34,Variant 1,1,226,1
399,226,8,2011-04-12 00:01:52,Variant 1,1,226,8
400,226,6,2011-04-13 18:20:49,Variant 1,1,226,6
401,227,1,2011-05-17 17:14:34,Variant 1,1,227,1
402,227,8,2011-05-17 17:14:52,Variant 1,1,227,8
403,227,6,2011-05-20 20:41:53,Variant 1,1,227,6
404,229,1,2011-11-23 18:44:28,Variant 4,4,229,1
405,229,6,2011-11-23 20:21:30,Variant 4,4,229,6
406,236,1,2011-01-19 19:08:18,Variant 1,1,236,1
407,236,8,2011-02-05 01:33:09,Variant 1,1,236,8
408,236,6,2011-02-07 19:48:08,Variant 1,1,236,6
409,239,1,2011-07-14 21:26:36,Variant 1,1,239,1
410,239,8,2011-07-14 23:50:15,Variant 1,1,239,8
411,239,6,2011-08-03 16:14:00,Variant 1,1,239,6
412,240,1,2011-07-27 23:30:16,Variant 1,1,240,1
413,240,8,2011-08-02 23:54:16,Variant 1,1,240,8
414,240,6,2011-08-10 20:43:40,Variant 1,1,240,6
415,241,1,2012-05-17 23:53:08,Variant 1,1,241,1
416,241,8,2012-05-18 14:58:20,Variant 1,1,241,8
417,241,6,2012-05-21 16:27:17,Variant 1,1,241,6
418,243,1,2012-06-20 22:41:25,Variant 1,1,243,1
419,243,8,2012-06-20 22:44:02,Variant 1,1,243,8
420,243,6,2012-06-20 22:44:33,Variant 1,1,243,6
421,248,1,2011-11-08 22:32:15,Variant 7,7,248,1
422,248,6,2011-11-09 17:39:45,Variant 7,7,248,6
423,248,6,2011-11-09 17:39:46,Variant 7,7,248,6
424,249,1,2011-04-20 15:34:05,Variant 1,1,249,1
425,249,8,2011-04-20 15:35:25,Variant 1,1,249,8
426,249,6,2011-04-27 17:53:20,Variant 1,1,249,6
427,250,1,2011-02-23 02:06:59,Variant 1,1,250,1
428,250,8,2011-02-23 02:07:16,Variant 1,1,250,8
429,250,6,2011-02-28 19:43:36,Variant 1,1,250,6
430,251,1,2012-06-26 22:50:34,Variant 1,1,251,1
433,252,1,2011-01-19 23:55:14,Variant 8,8,252,1
434,252,8,2011-01-19 23:55:35,Variant 8,8,252,8
435,252,6,2011-01-21 00:21:38,Variant 8,8,252,6
436,252,8,2011-01-24 22:38:44,Variant 8,8,252,8
437,252,6,2011-02-28 18:40:26,Variant 8,8,252,6
438,255,1,2012-03-06 17:24:19,Variant 1,1,255,1
439,255,8,2012-03-06 22:39:56,Variant 1,1,255,8
440,255,6,2012-03-06 23:07:30,Variant 1,1,255,6
441,256,1,2011-01-12 01:41:38,Variant 1,1,256,1
442,256,8,2011-01-27 19:59:56,Variant 1,1,256,8
443,256,6,2011-01-27 20:00:26,Variant 1,1,256,6
444,257,1,2011-01-28 20:42:47,Variant 1,1,257,1
445,257,8,2011-02-09 22:50:46,Variant 1,1,257,8
446,257,6,2011-02-09 22:50:56,Variant 1,1,257,6
447,263,1,2011-12-29 01:51:52,Variant 1,1,263,1
448,263,8,2011-12-29 19:16:43,Variant 1,1,263,8
449,263,6,2011-12-30 17:01:38,Variant 1,1,263,6
450,264,1,2011-03-09 22:27:13,Variant 1,1,264,1
451,264,8,2011-03-11 17:05:59,Variant 1,1,264,8
452,264,6,2011-03-11 17:22:38,Variant 1,1,264,6
453,266,1,2012-06-18 18:49:00,Variant 7,7,266,1
454,266,6,2012-06-20 15:11:19,Variant 7,7,266,6
