CASEOID,ACTIVITYOID,TIMESTAMP,Variant,Variant index
68,8,2012/04/11 22:09:45.000,Variant 1,1
68,6,2012/04/12 18:31:37.000,Variant 1,1
70,1,2011/06/07 15:34:53.000,Variant 2,2
70,8,2011/06/07 15:35:14.000,Variant 2,2
70,9,2011/07/08 16:44:58.000,Variant 2,2
70,6,2011/07/12 15:00:36.000,Variant 2,2
71,1,2011/11/02 17:20:14.000,Variant 1,1
71,8,2011/11/02 17:20:41.000,Variant 1,1
71,6,2011/11/02 18:49:41.000,Variant 1,1
72,1,2011/01/25 22:15:31.000,Variant 1,1
72,8,2011/01/25 22:15:58.000,Variant 1,1
72,6,2011/02/14 20:48:42.000,Variant 1,1
74,6,2012/02/10 20:42:26.000,Variant 52,52
76,1,2012/01/11 00:01:36.000,Variant 4,4
76,6,2012/01/11 00:58:08.000,Variant 4,4
78,1,2011/11/08 18:18:10.000,Variant 1,1
78,8,2011/11/08 18:22:35.000,Variant 1,1
78,6,2011/12/06 01:33:12.000,Variant 1,1
85,1,2011/02/25 02:01:50.000,Variant 1,1
85,8,2011/02/25 02:03:45.000,Variant 1,1
85,6,2011/03/04 19:02:13.000,Variant 1,1
86,1,2012/06/13 00:12:48.000,Variant 2,2
86,8,2012/06/15 15:27:33.000,Variant 2,2
86,9,2012/06/15 18:00:52.000,Variant 2,2
86,6,2012/06/18 17:42:02.000,Variant 2,2
87,1,2011/11/14 23:35:55.000,Variant 30,30
87,8,2011/11/18 01:58:30.000,Variant 30,30
87,9,2011/11/18 01:59:03.000,Variant 30,30
87,6,2011/11/25 18:30:07.000,Variant 30,30
87,8,2011/11/28 22:50:35.000,Variant 30,30
87,9,2011/11/28 22:59:00.000,Variant 30,30
87,6,2011/12/07 22:41:18.000,Variant 30,30
91,1,2011/05/24 20:51:35.000,Variant 1,1
91,8,2011/05/24 20:52:07.000,Variant 1,1
91,6,2011/05/24 21:36:11.000,Variant 1,1
94,1,2012/02/08 17:33:56.000,Variant 1,1
94,8,2012/02/08 17:34:08.000,Variant 1,1
94,6,2012/02/08 17:34:34.000,Variant 1,1
95,1,2011/09/26 18:27:14.000,Variant 1,1
95,8,2011/09/29 21:54:32.000,Variant 1,1
95,6,2011/09/30 17:09:23.000,Variant 1,1
96,1,2012/02/28 01:31:32.000,Variant 6,6
96,8,2012/02/28 17:52:59.000,Variant 6,6
96,6,2012/02/29 17:25:13.000,Variant 6,6
96,6,2012/02/29 17:25:14.000,Variant 6,6
99,1,2011/05/11 18:16:32.000,Variant 1,1
99,8,2011/05/11 18:17:55.000,Variant 1,1
99,6,2011/05/16 16:33:29.000,Variant 1,1
102,1,2012/01/30 18:09:29.000,Variant 1,1
102,8,2012/01/30 18:09:57.000,Variant 1,1
102,6,2012/01/31 17:12:06.000,Variant 1,1
104,1,2011/01/27 17:34:59.000,Variant 1,1
104,8,2011/01/27 18:32:40.000,Variant 1,1
104,6,2011/01/27 18:34:24.000,Variant 1,1
108,1,2011/01/12 20:28:16.000,Variant 1,1
108,8,2011/01/24 18:21:26.000,Variant 1,1
108,6,2011/01/26 17:12:39.000,Variant 1,1
112,1,2011/10/06 15:50:55.000,Variant 1,1
112,8,2011/10/07 22:03:47.000,Variant 1,1
112,6,2011/10/14 22:44:32.000,Variant 1,1
116,1,2011/04/08 21:02:03.000,Variant 1,1
116,8,2011/04/08 21:02:38.000,Variant 1,1
116,6,2011/04/08 21:07:10.000,Variant 1,1
118,1,2011/03/07 20:02:24.000,Variant 1,1
118,8,2011/03/07 20:02:41.000,Variant 1,1
118,6,2011/03/07 22:14:21.000,Variant 1,1
119,1,2011/12/05 23:22:17.000,Variant 1,1
119,8,2011/12/05 23:58:56.000,Variant 1,1
119,6,2011/12/13 18:22:04.000,Variant 1,1
120,1,2012/04/24 22:07:03.000,Variant 2,2
120,8,2012/05/08 18:53:06.000,Variant 2,2
120,9,2012/05/08 20:31:30.000,Variant 2,2
120,6,2012/05/08 22:04:27.000,Variant 2,2
121,1,2011/02/09 22:28:58.000,Variant 1,1
121,8,2011/02/09 23:21:02.000,Variant 1,1
121,6,2011/02/09 23:21:46.000,Variant 1,1
122,1,2011/02/15 00:23:08.000,Variant 1,1
122,8,2011/02/15 20:17:46.000,Variant 1,1
122,6,2011/02/15 20:52:47.000,Variant 1,1
123,1,2011/05/06 15:33:07.000,Variant 3,3
123,8,2011/05/06 15:33:39.000,Variant 3,3
123,9,2011/05/06 20:55:50.000,Variant 3,3
123,8,2011/05/12 21:45:43.000,Variant 3,3
123,6,2011/05/12 21:45:54.000,Variant 3,3
124,1,2012/06/07 23:31:32.000,Variant 1,1
124,8,2012/06/08 14:47:21.000,Variant 1,1
124,6,2012/06/08 14:47:30.000,Variant 1,1
128,1,2011/11/28 17:10:27.000,Variant 7,7
128,6,2011/11/28 18:46:59.000,Variant 7,7
128,6,2011/11/28 18:46:59.000,Variant 7,7
132,1,2012/06/21 20:50:46.000,Variant 2,2
132,8,2012/06/21 21:30:02.000,Variant 2,2
132,9,2012/06/21 22:32:08.000,Variant 2,2
132,6,2012/06/25 20:03:33.000,Variant 2,2
133,1,2011/01/26 20:24:58.000,Variant 5,5
133,1,2011/01/26 20:59:56.000,Variant 5,5
133,8,2011/01/26 21:00:03.000,Variant 5,5
133,6,2011/01/28 23:29:17.000,Variant 5,5
134,1,2011/04/19 22:42:45.000,Variant 1,1
134,8,2011/04/19 22:45:25.000,Variant 1,1
134,6,2011/04/19 22:45:42.000,Variant 1,1
135,1,2011/02/08 20:57:41.000,Variant 21,21
135,8,2011/02/08 20:58:01.000,Variant 21,21
135,9,2011/02/10 17:27:30.000,Variant 21,21
135,8,2011/02/14 21:01:11.000,Variant 21,21
135,6,2011/02/14 21:02:59.000,Variant 21,21
135,8,2011/03/03 18:46:37.000,Variant 21,21
135,6,2011/03/03 23:05:29.000,Variant 21,21
136,1,2012/06/06 22:48:56.000,Variant 1,1
136,8,2012/06/07 20:19:44.000,Variant 1,1
136,6,2012/06/08 15:13:29.000,Variant 1,1
137,1,2011/08/05 21:00:13.000,Variant 2,2
137,8,2011/08/11 18:30:47.000,Variant 2,2
137,9,2011/08/12 21:42:55.000,Variant 2,2
137,6,2011/08/19 20:25:37.000,Variant 2,2
138,1,2012/03/02 18:13:46.000,Variant 1,1
138,8,2012/03/02 18:13:56.000,Variant 1,1
138,6,2012/03/02 18:34:03.000,Variant 1,1
141,1,2011/01/12 19:39:32.000,Variant 22,22
141,8,2011/01/12 19:39:56.000,Variant 22,22
141,9,2011/01/12 19:50:26.000,Variant 22,22
141,8,2011/01/12 20:07:51.000,Variant 22,22
141,9,2011/01/12 20:34:34.000,Variant 22,22
141,8,2011/01/26 18:25:14.000,Variant 22,22
141,6,2011/01/26 18:26:04.000,Variant 22,22
142,1,2012/03/07 20:00:05.000,Variant 1,1
142,8,2012/03/08 22:53:36.000,Variant 1,1
142,6,2012/03/09 23:48:25.000,Variant 1,1
148,1,2012/01/09 20:19:35.000,Variant 6,6
148,8,2012/01/10 01:14:26.000,Variant 6,6
148,6,2012/01/10 01:14:53.000,Variant 6,6
148,6,2012/01/10 01:14:53.000,Variant 6,6
149,1,2011/02/09 23:35:27.000,Variant 1,1
149,8,2011/02/10 00:16:21.000,Variant 1,1
149,6,2011/02/10 00:24:44.000,Variant 1,1
150,3,2011/05/18 16:39:41.000,Variant 53,53
150,1,2011/05/18 16:39:49.000,Variant 53,53
150,8,2011/05/18 16:41:36.000,Variant 53,53
150,9,2011/05/23 23:20:54.000,Variant 53,53
150,8,2011/05/26 15:55:33.000,Variant 53,53
150,6,2011/05/26 15:56:00.000,Variant 53,53
152,1,2012/05/18 20:08:58.000,Variant 1,1
152,8,2012/05/24 18:00:37.000,Variant 1,1
152,6,2012/05/25 16:12:16.000,Variant 1,1
155,1,2010/12/15 01:19:51.000,Variant 3,3
155,8,2010/12/17 19:45:21.000,Variant 3,3
155,9,2010/12/24 00:26:07.000,Variant 3,3
155,8,2011/01/18 20:15:13.000,Variant 3,3
155,6,2011/01/18 20:15:29.000,Variant 3,3
157,1,2011/05/24 15:13:23.000,Variant 1,1
157,8,2011/05/31 23:42:09.000,Variant 1,1
157,6,2011/06/06 18:19:01.000,Variant 1,1
159,1,2011/09/21 15:12:16.000,Variant 1,1
159,8,2011/09/21 15:46:44.000,Variant 1,1
159,6,2011/09/27 21:20:30.000,Variant 1,1
160,1,2011/02/25 19:55:02.000,Variant 1,1
160,8,2011/02/25 22:26:45.000,Variant 1,1
160,6,2011/02/25 22:28:30.000,Variant 1,1
162,1,2011/10/04 23:47:43.000,Variant 14,14
162,1,2011/10/07 21:29:10.000,Variant 14,14
162,6,2011/10/07 21:30:00.000,Variant 14,14
165,1,2012/01/14 01:36:23.000,Variant 4,4
165,6,2012/01/14 01:36:49.000,Variant 4,4
167,1,2011/11/23 23:43:38.000,Variant 25,25
167,8,2011/11/25 19:12:19.000,Variant 25,25
167,9,2011/11/25 23:01:18.000,Variant 25,25
167,6,2011/11/28 18:25:00.000,Variant 25,25
167,6,2011/11/28 18:25:02.000,Variant 25,25
168,1,2012/01/09 19:01:47.000,Variant 1,1
168,8,2012/01/09 20:20:28.000,Variant 1,1
168,6,2012/01/09 20:21:29.000,Variant 1,1
170,1,2012/05/02 23:54:51.000,Variant 12,12
170,8,2012/05/03 15:51:09.000,Variant 12,12
170,9,2012/05/03 16:01:21.000,Variant 12,12
170,8,2012/05/17 15:46:38.000,Variant 12,12
170,9,2012/05/17 15:47:13.000,Variant 12,12
170,6,2012/05/18 15:18:57.000,Variant 12,12
171,1,2011/08/29 22:12:48.000,Variant 5,5
171,1,2011/08/30 17:49:49.000,Variant 5,5
171,8,2011/08/30 18:06:35.000,Variant 5,5
171,6,2011/08/31 15:34:45.000,Variant 5,5
174,1,2011/10/24 18:22:28.000,Variant 2,2
174,8,2011/11/04 00:48:18.000,Variant 2,2
174,9,2011/11/05 01:24:35.000,Variant 2,2
174,6,2011/11/09 23:20:52.000,Variant 2,2
177,1,2012/01/18 17:12:04.000,Variant 1,1
177,8,2012/01/18 17:21:52.000,Variant 1,1
177,6,2012/01/18 18:42:03.000,Variant 1,1
178,1,2012/02/22 23:49:43.000,Variant 1,1
178,8,2012/02/22 23:49:52.000,Variant 1,1
178,6,2012/02/29 18:36:49.000,Variant 1,1
179,1,2012/04/11 21:30:07.000,Variant 1,1
179,8,2012/04/12 17:29:39.000,Variant 1,1
179,6,2012/04/12 20:57:39.000,Variant 1,1
180,1,2011/10/06 18:23:22.000,Variant 1,1
180,8,2011/10/06 22:07:44.000,Variant 1,1
180,6,2011/10/06 22:31:30.000,Variant 1,1
181,1,2011/09/29 17:51:55.000,Variant 4,4
181,6,2011/09/30 21:14:19.000,Variant 4,4
188,1,2012/01/09 22:58:58.000,Variant 1,1
188,8,2012/01/09 22:59:09.000,Variant 1,1
188,6,2012/01/10 18:03:01.000,Variant 1,1
190,1,2011/02/22 00:36:25.000,Variant 1,1
190,8,2011/02/22 01:44:27.000,Variant 1,1
190,6,2011/03/03 23:26:19.000,Variant 1,1
194,1,2012/02/08 20:28:03.000,Variant 1,1
194,8,2012/02/10 19:28:30.000,Variant 1,1
194,6,2012/03/05 20:31:08.000,Variant 1,1
196,1,2011/11/16 19:45:30.000,Variant 1,1
196,8,2011/11/17 22:31:33.000,Variant 1,1
196,6,2011/11/17 22:32:09.000,Variant 1,1
197,1,2012/06/01 16:18:57.000,Variant 6,6
197,8,2012/06/04 15:56:22.000,Variant 6,6
197,6,2012/06/04 17:46:33.000,Variant 6,6
197,6,2012/06/04 17:46:33.000,Variant 6,6
198,1,2011/04/28 21:46:15.000,Variant 1,1
198,8,2011/04/28 21:46:46.000,Variant 1,1
198,6,2011/05/09 23:43:48.000,Variant 1,1
199,8,2011/12/14 00:45:50.000,Variant 9,9
199,6,2011/12/14 19:27:28.000,Variant 9,9
200,1,2012/04/12 22:59:24.000,Variant 1,1
200,8,2012/04/13 23:07:02.000,Variant 1,1
200,6,2012/04/16 21:40:01.000,Variant 1,1
201,1,2011/08/22 15:06:31.000,Variant 1,1
201,8,2011/08/22 17:14:28.000,Variant 1,1
201,6,2011/08/22 17:31:48.000,Variant 1,1
204,1,2011/11/01 00:30:39.000,Variant 1,1
204,8,2011/11/01 00:30:50.000,Variant 1,1
204,6,2011/11/02 22:41:11.000,Variant 1,1
206,1,2011/03/04 19:26:28.000,Variant 3,3
206,8,2011/03/04 19:29:32.000,Variant 3,3
206,9,2011/03/04 20:32:51.000,Variant 3,3
206,8,2011/03/11 20:48:16.000,Variant 3,3
206,6,2011/03/11 20:48:28.000,Variant 3,3
207,1,2011/06/21 21:40:37.000,Variant 1,1
207,8,2011/06/23 21:54:10.000,Variant 1,1
207,6,2011/07/11 15:42:06.000,Variant 1,1
209,1,2012/01/11 19:39:43.000,Variant 1,1
209,8,2012/01/11 19:40:06.000,Variant 1,1
209,6,2012/01/11 19:41:58.000,Variant 1,1
212,1,2012/05/14 20:39:34.000,Variant 1,1
212,8,2012/05/14 20:39:41.000,Variant 1,1
212,6,2012/05/14 21:28:38.000,Variant 1,1
213,1,2011/07/19 18:43:29.000,Variant 4,4
213,6,2011/07/27 16:19:08.000,Variant 4,4
214,1,2011/01/26 17:16:35.000,Variant 5,5
214,1,2011/01/26 17:57:02.000,Variant 5,5
214,8,2011/01/26 17:57:35.000,Variant 5,5
214,6,2011/01/27 17:24:33.000,Variant 5,5
217,1,2011/03/04 18:34:36.000,Variant 1,1
217,8,2011/03/04 18:35:05.000,Variant 1,1
217,6,2011/03/09 00:20:32.000,Variant 1,1
218,1,2011/03/26 01:16:00.000,Variant 20,20
218,8,2011/03/26 01:17:36.000,Variant 20,20
218,6,2011/03/26 01:31:47.000,Variant 20,20
218,8,2011/03/28 17:02:16.000,Variant 20,20
218,9,2011/03/31 23:35:15.000,Variant 20,20
218,8,2011/04/08 20:49:14.000,Variant 20,20
218,6,2011/04/08 21:01:12.000,Variant 20,20
219,8,2011/11/11 19:10:51.000,Variant 49,49
219,9,2011/11/11 19:52:25.000,Variant 49,49
219,8,2011/11/15 17:46:26.000,Variant 49,49
219,6,2011/11/15 17:47:32.000,Variant 49,49
219,6,2011/11/15 17:47:33.000,Variant 49,49
220,1,2011/07/25 19:03:37.000,Variant 2,2
220,8,2011/07/28 21:41:04.000,Variant 2,2
220,9,2011/08/04 17:47:48.000,Variant 2,2
220,6,2011/08/04 21:25:57.000,Variant 2,2
221,1,2011/11/23 19:46:01.000,Variant 1,1
221,8,2011/11/26 00:11:06.000,Variant 1,1
221,6,2011/11/28 20:46:18.000,Variant 1,1
222,1,2012/02/01 20:34:03.000,Variant 4,4
222,6,2012/02/01 20:35:16.000,Variant 4,4
223,1,2012/03/15 22:28:02.000,Variant 6,6
223,8,2012/03/16 20:30:26.000,Variant 6,6
223,6,2012/03/17 00:29:01.000,Variant 6,6
223,6,2012/03/17 00:29:02.000,Variant 6,6
224,1,2012/05/28 22:20:59.000,Variant 2,2
224,8,2012/05/28 22:21:21.000,Variant 2,2
224,9,2012/05/28 22:41:06.000,Variant 2,2
224,6,2012/05/29 16:06:03.000,Variant 2,2
225,1,2011/07/21 21:48:19.000,Variant 4,4
225,6,2011/07/22 21:05:46.000,Variant 4,4
226,1,2011/04/12 00:01:34.000,Variant 1,1
226,8,2011/04/12 00:01:52.000,Variant 1,1
226,6,2011/04/13 18:20:49.000,Variant 1,1
227,1,2011/05/17 17:14:34.000,Variant 1,1
227,8,2011/05/17 17:14:52.000,Variant 1,1
227,6,2011/05/20 20:41:53.000,Variant 1,1
229,1,2011/11/23 18:44:28.000,Variant 4,4
229,6,2011/11/23 20:21:30.000,Variant 4,4
236,1,2011/01/19 19:08:18.000,Variant 1,1
236,8,2011/02/05 01:33:09.000,Variant 1,1
236,6,2011/02/07 19:48:08.000,Variant 1,1
239,1,2011/07/14 21:26:36.000,Variant 1,1
239,8,2011/07/14 23:50:15.000,Variant 1,1
239,6,2011/08/03 16:14:00.000,Variant 1,1
240,1,2011/07/27 23:30:16.000,Variant 1,1
240,8,2011/08/02 23:54:16.000,Variant 1,1
240,6,2011/08/10 20:43:40.000,Variant 1,1
241,1,2012/05/17 23:53:08.000,Variant 1,1
241,8,2012/05/18 14:58:20.000,Variant 1,1
241,6,2012/05/21 16:27:17.000,Variant 1,1
243,1,2012/06/20 22:41:25.000,Variant 1,1
243,8,2012/06/20 22:44:02.000,Variant 1,1
243,6,2012/06/20 22:44:33.000,Variant 1,1
248,1,2011/11/08 22:32:15.000,Variant 7,7
248,6,2011/11/09 17:39:45.000,Variant 7,7
248,6,2011/11/09 17:39:46.000,Variant 7,7
249,1,2011/04/20 15:34:05.000,Variant 1,1
249,8,2011/04/20 15:35:25.000,Variant 1,1
249,6,2011/04/27 17:53:20.000,Variant 1,1
250,1,2011/02/23 02:06:59.000,Variant 1,1
250,8,2011/02/23 02:07:16.000,Variant 1,1
250,6,2011/02/28 19:43:36.000,Variant 1,1
251,1,2012/06/26 22:50:34.000,Variant 1,1
251,8,2012/07/03 15:44:06.000,Variant 1,1
251,6,2012/07/06 16:50:50.000,Variant 1,1
252,1,2011/01/19 23:55:14.000,Variant 8,8
252,8,2011/01/19 23:55:35.000,Variant 8,8
252,6,2011/01/21 00:21:38.000,Variant 8,8
252,8,2011/01/24 22:38:44.000,Variant 8,8
252,6,2011/02/28 18:40:26.000,Variant 8,8
255,1,2012/03/06 17:24:19.000,Variant 1,1
255,8,2012/03/06 22:39:56.000,Variant 1,1
255,6,2012/03/06 23:07:30.000,Variant 1,1
256,1,2011/01/12 01:41:38.000,Variant 1,1
256,8,2011/01/27 19:59:56.000,Variant 1,1
256,6,2011/01/27 20:00:26.000,Variant 1,1
257,1,2011/01/28 20:42:47.000,Variant 1,1
257,8,2011/02/09 22:50:46.000,Variant 1,1
257,6,2011/02/09 22:50:56.000,Variant 1,1
263,1,2011/12/29 01:51:52.000,Variant 1,1
263,8,2011/12/29 19:16:43.000,Variant 1,1
263,6,2011/12/30 17:01:38.000,Variant 1,1
264,1,2011/03/09 22:27:13.000,Variant 1,1
264,8,2011/03/11 17:05:59.000,Variant 1,1
264,6,2011/03/11 17:22:38.000,Variant 1,1
266,1,2012/06/18 18:49:00.000,Variant 7,7
266,6,2012/06/20 15:11:19.000,Variant 7,7
266,6,2012/06/20 15:11:20.000,Variant 7,7
267,1,2011/05/05 17:41:25.000,Variant 1,1
267,8,2011/05/05 17:42:08.000,Variant 1,1
267,6,2011/05/05 21:14:58.000,Variant 1,1
269,8,2011/12/12 17:40:49.000,Variant 9,9
269,6,2012/01/03 18:15:12.000,Variant 9,9
270,1,2011/04/01 16:48:44.000,Variant 15,15
270,8,2011/04/01 16:49:20.000,Variant 15,15
270,9,2011/04/01 17:42:02.000,Variant 15,15
270,9,2011/04/01 18:40:01.000,Variant 15,15
270,8,2011/04/04 18:05:40.000,Variant 15,15
270,6,2011/04/06 18:48:27.000,Variant 15,15
272,1,2012/01/25 16:58:57.000,Variant 2,2
272,8,2012/01/25 17:39:02.000,Variant 2,2
272,9,2012/02/01 20:28:32.000,Variant 2,2
272,6,2012/02/29 02:21:41.000,Variant 2,2
274,1,2012/04/20 18:47:22.000,Variant 1,1
274,8,2012/04/26 16:37:56.000,Variant 1,1
274,6,2012/04/26 20:19:28.000,Variant 1,1
277,1,2012/03/13 18:47:21.000,Variant 1,1
277,8,2012/03/13 18:48:04.000,Variant 1,1
277,6,2012/03/14 23:35:22.000,Variant 1,1
279,1,2011/10/07 17:50:02.000,Variant 4,4
279,6,2011/10/07 17:50:33.000,Variant 4,4
281,1,2011/06/30 21:42:32.000,Variant 5,5
281,1,2011/06/30 21:42:53.000,Variant 5,5
281,8,2011/07/04 20:19:44.000,Variant 5,5
281,6,2011/07/04 20:57:06.000,Variant 5,5
283,1,2012/06/12 17:18:08.000,Variant 1,1
283,8,2012/06/18 18:01:49.000,Variant 1,1
283,6,2012/07/02 17:44:23.000,Variant 1,1
284,1,2011/11/08 17:24:00.000,Variant 1,1
284,8,2011/11/08 17:24:19.000,Variant 1,1
284,6,2011/11/08 17:34:52.000,Variant 1,1
285,1,2012/05/02 18:41:57.000,Variant 1,1
285,8,2012/05/03 16:00:14.000,Variant 1,1
285,6,2012/05/03 22:34:29.000,Variant 1,1
287,1,2011/02/08 16:48:56.000,Variant 1,1
287,8,2011/02/08 16:49:34.000,Variant 1,1
287,6,2011/02/08 19:49:59.000,Variant 1,1
288,1,2011/11/17 18:35:43.000,Variant 1,1
288,8,2011/11/17 18:36:01.000,Variant 1,1
288,6,2011/11/17 23:00:05.000,Variant 1,1
290,1,2012/02/14 20:05:29.000,Variant 46,46
290,9,2012/02/15 18:20:13.000,Variant 46,46
290,6,2012/03/01 00:31:24.000,Variant 46,46
290,6,2012/03/01 00:31:28.000,Variant 46,46
295,1,2012/02/15 18:20:54.000,Variant 6,6
295,8,2012/02/15 18:30:22.000,Variant 6,6
295,6,2012/02/15 22:06:58.000,Variant 6,6
295,6,2012/02/15 22:06:59.000,Variant 6,6
300,1,2012/03/22 01:34:29.000,Variant 1,1
300,8,2012/03/22 01:34:39.000,Variant 1,1
300,6,2012/03/26 18:31:22.000,Variant 1,1
303,1,2012/02/06 17:29:21.000,Variant 1,1
303,8,2012/02/06 17:29:28.000,Variant 1,1
303,6,2012/02/06 17:57:12.000,Variant 1,1
304,1,2011/10/05 23:48:23.000,Variant 1,1
304,8,2011/10/06 17:30:22.000,Variant 1,1
304,6,2011/10/06 21:48:54.000,Variant 1,1
305,1,2012/05/07 15:41:52.000,Variant 2,2
